landseg,landuse,thisyear,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
A51047,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51049,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51051,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51053,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51057,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51059,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51061,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51063,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51065,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51067,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51069,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51071,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51073,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51075,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51077,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51079,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51081,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51083,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51085,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51087,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51089,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51091,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51093,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51095,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51097,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51099,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51101,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51103,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51105,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51107,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51109,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51111,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51113,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51115,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51117,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51119,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51121,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51125,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51127,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51131,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51133,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51135,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51137,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51139,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51141,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51143,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51145,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51147,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51149,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51153,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51155,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51157,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51159,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51161,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51163,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51165,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51167,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51169,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51171,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51173,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51175,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51177,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51179,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51181,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51183,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51185,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51187,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51191,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51193,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51195,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51197,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51199,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51510,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51515,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51520,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51530,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51540,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51550,alf,1982,0.85,0.85,0.88,0.93,0.93,0.93,0.65,0.65,0.73,0.85,0.85,0.85
A51570,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51580,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51590,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51595,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51600,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51610,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51620,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51630,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51640,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51650,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51660,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51670,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51678,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51680,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51683,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51685,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51690,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51700,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51710,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51720,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51730,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51735,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51740,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51750,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51760,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51770,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51775,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51790,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51800,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51810,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51820,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51830,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A51840,alf,1982,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9
A54003,alf,1982,0.85,0.85,0.88,0.7433,0.7433,0.93,0.8367,0.8367,0.83,0.85,0.85,0.85
A54023,alf,1982,0.85,0.85,0.88,0.7433,0.7433,0.93,0.8367,0.8367,0.83,0.85,0.85,0.85
A54027,alf,1982,0.85,0.85,0.88,0.7433,0.7433,0.93,0.8367,0.8367,0.83,0.85,0.85,0.85
A54031,alf,1982,0.85,0.85,0.88,0.7433,0.7433,0.93,0.8367,0.8367,0.83,0.85,0.85,0.85
A54037,alf,1982,0.85,0.85,0.88,0.7433,0.7433,0.93,0.8367,0.8367,0.83,0.85,0.85,0.85
A54057,alf,1982,0.85,0.85,0.88,0.7433,0.7433,0.93,0.8367,0.8367,0.83,0.85,0.85,0.85
